Значение: 0   Частота: 0.4986301
Значение: 0.1   Частота: 0.02191781
Значение: 0.2   Частота: 0.01917808
Значение: 0.3   Частота: 0.03013699
Значение: 0.4   Частота: 0.02191781
Значение: 0.5   Частота: 0.03013699
Значение: 0.6   Частота: 0.01643836
Значение: 0.7   Частота: 0.005479452
Значение: 0.8   Частота: 0.0109589
Значение: 0.9   Частота: 0.008219178
Значение: 1   Частота: 0.0109589
Значение: 1.1   Частота: 0.01643836
Значение: 1.2   Частота: 0.0109589
Значение: 1.3   Частота: 0.005479452
Значение: 1.4   Частота: 0.008219178
Значение: 1.5   Частота: 0.005479452
Значение: 1.6   Частота: 0.0109589
Значение: 1.7   Частота: 0.008219178
Значение: 1.8   Частота: 0.008219178
Значение: 2   Частота: 0.008219178
Значение: 2.1   Частота: 0.002739726
Значение: 2.2   Частота: 0.005479452
Значение: 2.3   Частота: 0.002739726
Значение: 2.4   Частота: 0.008219178
Значение: 2.6   Частота: 0.005479452
Значение: 2.7   Частота: 0.002739726
Значение: 2.8   Частота: 0.008219178
Значение: 2.9   Частота: 0.002739726
Значение: 3   Частота: 0.005479452
Значение: 3.1   Частота: 0.002739726
Значение: 3.3   Частота: 0.002739726
Значение: 3.4   Частота: 0.005479452
Значение: 3.5   Частота: 0.008219178
Значение: 3.6   Частота: 0.002739726
Значение: 3.7   Частота: 0.005479452
Значение: 3.9   Частота: 0.002739726
Значение: 4   Частота: 0.005479452
Значение: 4.1   Частота: 0.002739726
Значение: 4.3   Частота: 0.0109589
Значение: 4.5   Частота: 0.005479452
Значение: 4.6   Частота: 0.002739726
Значение: 4.7   Частота: 0.002739726
Значение: 4.8   Частота: 0.002739726
Значение: 4.9   Частота: 0.002739726
Значение: 5.1   Частота: 0.002739726
Значение: 5.4   Частота: 0.002739726
Значение: 5.5   Частота: 0.002739726
Значение: 5.8   Частота: 0.005479452
Значение: 5.9   Частота: 0.005479452
Значение: 6   Частота: 0.002739726
Значение: 6.1   Частота: 0.005479452
Значение: 6.2   Частота: 0.002739726
Значение: 6.3   Частота: 0.002739726
Значение: 6.4   Частота: 0.002739726
Значение: 6.5   Частота: 0.002739726
Значение: 6.6   Частота: 0.005479452
Значение: 6.7   Частота: 0.002739726
Значение: 6.8   Частота: 0.005479452
Значение: 7   Частота: 0.008219178
Значение: 7.2   Частота: 0.005479452
Значение: 7.4   Частота: 0.002739726
Значение: 7.6   Частота: 0.005479452
Значение: 7.8   Частота: 0.008219178
Значение: 7.9   Частота: 0.002739726
Значение: 8.1   Частота: 0.005479452
Значение: 8.3   Частота: 0.002739726
Значение: 9.1   Частота: 0.002739726
Значение: 9.5   Частота: 0.002739726
Значение: 9.8   Частота: 0.002739726
Значение: 10   Частота: 0.002739726
Значение: 10.4   Частота: 0.002739726
Значение: 11   Частота: 0.002739726
Значение: 11.5   Частота: 0.002739726
Значение: 12.8   Частота: 0.005479452
Значение: 14.4   Частота: 0.002739726
Значение: 14.6   Частота: 0.002739726
Значение: 17.5   Частота: 0.002739726
Значение: 23   Частота: 0.002739726
Значение: 57.9   Частота: 0.002739726
Значение: 60.4   Частота: 0.002739726
