Значение: 0   Частота: 0.49863013625145
Значение: 0.100000001490116   Частота: 0.0219178088009357
Значение: 0.200000002980232   Частота: 0.0191780813038349
Значение: 0.300000011920929   Частота: 0.0301369857043028
Значение: 0.400000005960464   Частота: 0.0219178088009357
Значение: 0.5   Частота: 0.0301369857043028
Значение: 0.600000023841858   Частота: 0.0164383556693792
Значение: 0.699999988079071   Частота: 0.00547945220023394
Значение: 0.800000011920929   Частота: 0.0109589044004679
Значение: 0.899999976158142   Частота: 0.00821917783468962
Значение: 1   Частота: 0.0109589044004679
Значение: 1.10000002384186   Частота: 0.0164383556693792
Значение: 1.20000004768372   Частота: 0.0109589044004679
Значение: 1.29999995231628   Частота: 0.00547945220023394
Значение: 1.39999997615814   Частота: 0.00821917783468962
Значение: 1.5   Частота: 0.00547945220023394
Значение: 1.60000002384186   Частота: 0.0109589044004679
Значение: 1.70000004768372   Частота: 0.00821917783468962
Значение: 1.79999995231628   Частота: 0.00821917783468962
Значение: 2   Частота: 0.00821917783468962
Значение: 2.09999990463257   Частота: 0.00273972610011697
Значение: 2.20000004768372   Частота: 0.00547945220023394
Значение: 2.29999995231628   Частота: 0.00273972610011697
Значение: 2.40000009536743   Частота: 0.00821917783468962
Значение: 2.59999990463257   Частота: 0.00547945220023394
Значение: 2.70000004768372   Частота: 0.00273972610011697
Значение: 2.79999995231628   Частота: 0.00821917783468962
Значение: 2.90000009536743   Частота: 0.00273972610011697
Значение: 3   Частота: 0.00547945220023394
Значение: 3.09999990463257   Частота: 0.00273972610011697
Значение: 3.29999995231628   Частота: 0.00273972610011697
Значение: 3.40000009536743   Частота: 0.00547945220023394
Значение: 3.5   Частота: 0.00821917783468962
Значение: 3.59999990463257   Частота: 0.00273972610011697
Значение: 3.70000004768372   Частота: 0.00547945220023394
Значение: 3.90000009536743   Частота: 0.00273972610011697
Значение: 4   Частота: 0.00547945220023394
Значение: 4.09999990463257   Частота: 0.00273972610011697
Значение: 4.30000019073486   Частота: 0.0109589044004679
Значение: 4.5   Частота: 0.00547945220023394
Значение: 4.59999990463257   Частота: 0.00273972610011697
Значение: 4.69999980926514   Частота: 0.00273972610011697
Значение: 4.80000019073486   Частота: 0.00273972610011697
Значение: 4.90000009536743   Частота: 0.00273972610011697
Значение: 5.09999990463257   Частота: 0.00273972610011697
Значение: 5.40000009536743   Частота: 0.00273972610011697
Значение: 5.5   Частота: 0.00273972610011697
Значение: 5.80000019073486   Частота: 0.00547945220023394
Значение: 5.90000009536743   Частота: 0.00547945220023394
Значение: 6   Частота: 0.00273972610011697
Значение: 6.09999990463257   Частота: 0.00547945220023394
Значение: 6.19999980926514   Частота: 0.00273972610011697
Значение: 6.30000019073486   Частота: 0.00273972610011697
Значение: 6.40000009536743   Частота: 0.00273972610011697
Значение: 6.5   Частота: 0.00273972610011697
Значение: 6.59999990463257   Частота: 0.00547945220023394
Значение: 6.69999980926514   Частота: 0.00273972610011697
Значение: 6.80000019073486   Частота: 0.00547945220023394
Значение: 7   Частота: 0.00821917783468962
Значение: 7.19999980926514   Частота: 0.00547945220023394
Значение: 7.40000009536743   Частота: 0.00273972610011697
Значение: 7.59999990463257   Частота: 0.00547945220023394
Значение: 7.80000019073486   Частота: 0.00821917783468962
Значение: 7.90000009536743   Частота: 0.00273972610011697
Значение: 8.10000038146973   Частота: 0.00547945220023394
Значение: 8.30000019073486   Частота: 0.00273972610011697
Значение: 9.10000038146973   Частота: 0.00273972610011697
Значение: 9.5   Частота: 0.00273972610011697
Значение: 9.80000019073486   Частота: 0.00273972610011697
Значение: 10   Частота: 0.00273972610011697
Значение: 10.3999996185303   Частота: 0.00273972610011697
Значение: 11   Частота: 0.00273972610011697
Значение: 11.5   Частота: 0.00273972610011697
Значение: 12.8000001907349   Частота: 0.00547945220023394
Значение: 14.3999996185303   Частота: 0.00273972610011697
Значение: 14.6000003814697   Частота: 0.00273972610011697
Значение: 17.5   Частота: 0.00273972610011697
Значение: 23   Частота: 0.00273972610011697
Значение: 57.9000015258789   Частота: 0.00273972610011697
Значение: 60.4000015258789   Частота: 0.00273972610011697
